fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
5101,675,2316,59,3050,0.22131147540983606,0.759344262295082,0.019344262295081967,1.232884147820356
5103,3249,3934,158,7341,0.44258275439313444,0.5358942923307451,0.02152295327612042,0.19130946327990406
5105,1047,2568,88,3703,0.28274372130704833,0.6934917634350527,0.023764515257899,0.897198453939315
5107,3125,2182,72,5379,0.5809630042758878,0.40565160810559586,0.013385387618516454,-0.3591923957774858
5109,599,2664,70,3333,0.17971797179717972,0.7992799279927992,0.021002100210021003,1.4923224335448304
5111,1273,4651,164,6088,0.20909986859395532,0.7639618922470434,0.026938239159001315,1.2957059306666905
5113,972,4958,115,6045,0.1607940446650124,0.8201819685690653,0.01902398676592225,1.6294019081346967
5115,3876,13690,385,17951,0.21592111860063506,0.7626316082669489,0.021447273132416022,1.2618619452718378
5117,628,2144,55,2827,0.22214361513972408,0.758401131941988,0.019455252918287938,1.227888355722494
5119,80138,52467,2289,134894,0.5940812786335938,0.3889498420982401,0.016968879268166117,-0.4235657480349916
5121,1149,4268,186,5603,0.20506871318936284,0.761734784936641,0.03319650187399607,1.3122533345728884
5125,12321,28284,953,41558,0.29647721257038356,0.680590981279176,0.022931806150440347,0.8309911500994631
5127,442,2332,73,2847,0.1552511415525114,0.8191078328064629,0.02564102564102564,1.663171665392685
5129,478,2546,107,3131,0.1526668795911849,0.8131587352283616,0.03417438518045353,1.6726680466258959
5131,9044,23112,954,33110,0.2731501057082452,0.6980368468740562,0.028813047417698582,0.9382504087482106
5133,734,2372,86,3192,0.2299498746867168,0.7431077694235589,0.02694235588972431,1.1729797315031005
5135,1102,4407,131,5640,0.19539007092198582,0.7813829787234042,0.023226950354609928,1.3860674751291273
5137,954,3346,107,4407,0.21647379169503064,0.7592466530519628,0.02427955525300658,1.2548572100984827
5139,4164,7867,183,12214,0.34092025544457183,0.6440969379400687,0.014982806615359424,0.636200644594383
5141,1603,4525,154,6282,0.255173511620503,0.7203120025469596,0.02451448583253741,1.0377407035244735
5143,29775,34346,1602,65723,0.4530377493419351,0.5225872221292394,0.024375028528825525,0.14281644832030652
5145,4846,16669,499,22014,0.22013264286363224,0.7571999636594894,0.02266739347687835,1.235397084566617
5147,829,1208,40,2077,0.39913336543091,0.5816080885893115,0.019258545979778528,0.37650122335946534
5149,1179,3988,136,5303,0.222326984725627,0.7520271544408825,0.025645860833490478,1.218623230544358
6001,457183,70327,34257,561767,0.8138302890700236,0.12518891284108893,0.060980798088887386,-1.8719279550171308
