fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y,rep.past,dem.past,other.past,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,voterID,state_fips,state,state_po,state_code
1099,3863,4978,0,8841,0.4369415224522113,0.5630584775477887,0,0.253584120261256,23300,13501,356,16820,54.66666667,42.41638225,0.618885097,45.33333333,0.200227531,52.11831627,37.30147895,17.80659841,28182,21.83311194,17.96817297,87.60491506,14.29565217,83.86086957,79.0445639,7,1,1,Alabama,AL,1
1101,1497,1138,0,2635,0.5681214421252372,0.4318785578747628,0,-0.2741907697333521,140926,238933,5830,168750,35.94233746,56.68932944,3.311462145,64.05766254,4.358992401,52.61926541,41.61975795,13.25684281,45358,8.447767958,14.48704622,68.54043393,6.979531027,57.36494365,10.49123006,2,1,1,Alabama,AL,1
1103,10816,28583,0,39399,0.27452473413030787,0.7254752658696921,0,0.9717856162017517,147983,49013,2491,88065,76.61912927,12.05302999,7.811467525,23.38087073,4.318514491,50.77663,37.47396596,15.75341893,46883,8.931430936,17.50880743,78.57081906,14.59579482,76.47272068,38.59737217,3,1,1,Alabama,AL,1
1109,4556,5799,0,10355,0.43998068565910187,0.5600193143408981,0,0.24124044330936778,29538,21936,1270,25630,56.56158909,37.41623343,2.193707365,43.43841091,3.885566608,52.32442828,48.96174535,14.2831385,33193,9.734290392,20.04281782,76.01182587,15.81641506,69.36491411,51.67938235,6,1,1,Alabama,AL,1
1111,1810,5774,0,7584,0.23866033755274263,0.7613396624472574,0,1.1600382359630088,29895,10182,306,17375,75.43665709,19.18638072,2.922838824,24.56334291,1.596285651,51.2491709,35.76387354,19.39420738,37496,7.978723404,22.73863709,84.62080903,18.93144669,83.65454989,81.34246934,6,1,1,Alabama,AL,1
1113,8016,7001,0,15017,0.5337950322967304,0.46620496770326963,0,-0.1353865483474484,36441,38893,618,43135,48.71580599,42.02026059,5.071969439,51.28419401,2.842963367,51.36264411,42.53359711,12.60317893,38400,9.425928076,17.43932794,82.98589504,14.29632564,83.04446865,35.4089939,2,1,1,Alabama,AL,1
1115,5589,24272,0,29861,0.18716720806403,0.81283279193597,0,1.4685230423186153,123718,24038,1603,65815,86.30336352,9.354786546,2.265061911,13.69663648,1.755682868,49.75743855,36.95827943,15.24556459,54042,6.400975015,16.51680155,83.89616012,15.24246346,83.7831151,72.79676528,1,1,1,Alabama,AL,1
1117,23289,60328,0,83617,0.27851991819845245,0.7214800818015475,0,0.9518151948086929,297009,89907,6567,149210,78.89595098,11.56343014,5.759136882,21.10404902,5.460522163,51.397177,38.59024719,12.97201762,72310,4.62105664,8.426307574,58.57700857,6.146213131,56.73020049,22.94487018,1,1,1,Alabama,AL,1
1121,10212,15963,0,26175,0.3901432664756447,0.6098567335243553,0,0.44671004490310456,81111,50929,951,62160,63.51949862,32.0502856,2.161441948,36.48050138,1.540890978,51.46378474,37.01099226,16.14666223,37923,12.04207886,20.18823782,86.90907792,18.31917915,85.10461596,55.81533825,4,1,1,Alabama,AL,1
1123,4684,10998,0,15682,0.2986863920418314,0.70131360795816855,0,0.8535609923501519,52993,23255,520,31945,69.07319693,27.02524537,2.41222716,30.92680307,1.457590703,52.6466136,35.06763026,19.51511304,39395,9.803453014,20.35973712,82.68419232,16.3266279,79.41176471,74.22625913,6,1,1,Alabama,AL,1
