Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
CA-39,173946,169837,0,4,0,-12,0,717176,12460,0.017373699,372510,0.51941225,235768,0.328744966,367992,0.513112541,307277,0.428454103,118795,0.165642743,96431,4.7,43.1
CA-40,50809,135572,0,4,0,-12,-33,715934,36462,0.050929276,398844,0.557096045,638644,0.892043121,355041,0.495913031,391183,0.546395338,66358,0.092687315,51774,6.3,10.1
CA-41,94289,167938,0,4,0,-12,-12,786719,71481,0.090859633,366550,0.465922394,493098,0.626777795,393373,0.50001716,431405,0.548359707,76051,0.096668569,69984,5.6,17.6
CA-42,210074,157667,0,4,0,-12,9,840562,52259,0.0621715,513962,0.611450434,350171,0.416591519,426169,0.507004837,413088,0.49144263,103475,0.123102163,90651,5.1,26.5
CA-43,78688,199210,0,4,0,-12,-29,748092,151208,0.202124872,324125,0.433268903,371842,0.497053838,379931,0.507866679,369892,0.494447207,94166,0.125874892,66670,4.9,29.7
CA-45,193096,221843,0,4,0,-12,3,791311,14625,0.018481987,490112,0.619367101,143940,0.181900669,400883,0.506606126,351466,0.444156596,123923,0.156604672,115427,3.2,56.6
CA-46,71716,157803,0,4,0,-12,-15,734651,15111,0.02056895,372328,0.506809356,491852,0.669504295,361122,0.491555854,380821,0.518369947,78678,0.10709575,71800,4.3,21.1
CA-47,114371,197028,0,4,0,-12,-13,717594,49477,0.068948458,376564,0.524759126,258354,0.360028094,365702,0.509622433,324480,0.452177694,105346,0.14680446,72493,4.6,34.1
CA-48,193362,201738,0,4,0,-12,4,718359,9755,0.013579561,446054,0.620934658,154254,0.214731075,365976,0.509461147,300685,0.418572051,129538,0.180324879,100604,4.3,44.6
CA-49,181157,205349,0,4,0,-12,1,731366,16910,0.023121119,589795,0.806429339,203281,0.27794702,369471,0.505179349,329220,0.450143977,119571,0.163489963,100037,5.1,47.2
CA-50,199510,166859,0,4,0,-12,11,758142,20233,0.026687613,597572,0.788205903,244196,0.322097971,376147,0.496143203,350731,0.46261914,119838,0.158068014,78346,4.4,30.9
CA-51,76841,165596,0,4,0,-12,-22,740797,49143,0.066338012,507815,0.685498186,527951,0.712679722,361357,0.487794902,384953,0.519647083,91866,0.124009681,52471,10,15.7
CA-52,152350,244145,0,4,0,-12,-6,767151,23077,0.030081431,509171,0.663716791,110296,0.14377352,378184,0.492972049,363493,0.473821972,112315,0.146405336,106524,3.6,61
CO-01,105955,331621,12714,5,1,-1,-21,852816,66434,0.07789957,669632,0.785201028,231229,0.27113586,426366,0.499950751,421284,0.49399167,107618,0.126191347,77507,3,52.1
CO-02,182547,316925,16191,5,1,-1,-9,824050,8646,0.010492082,743729,0.902528973,90376,0.109672957,407351,0.494328014,375999,0.456281779,127699,0.154965111,87585,3.2,56.9
CO-03,220634,194122,14563,5,1,-1,6,756569,7114,0.009402976,676878,0.894667902,189513,0.250490041,375508,0.496330143,318528,0.421016457,148022,0.195649042,59973,3.8,33
